# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,오세아니아,Sydney,2015,02,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,중동,Abu dhabi,2015,02,,,,3000.0,2800.0,2700.0,USD,2026-05-24
항공,Incheon,중동,Dubai,2015,02,,,,3800.0,3600.0,3500.0,USD,2026-05-24
항공,Incheon,중동,Dammam,2015,02,,,,2800.0,2700.0,2600.0,USD,2026-05-24
항공,Incheon,중동,Riyadh,2015,02,,,,3200.0,2900.0,2800.0,USD,2026-05-24
항공,Incheon,중동,Kuwait,2015,02,,,,3700.0,3600.0,3600.0,USD,2026-05-24
항공,Incheon,중동,Tehran,2015,02,,,,4000.0,3700.0,3400.0,USD,2026-05-24
항공,Incheon,러시아,Moscow,2015,02,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,03,,,,4700.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,03,,,,4800.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2015,03,,,,4200.0,4100.0,4000.0,USD,2026-05-24
항공,Incheon,북미,New York,2015,03,,,,4400.0,4400.0,4200.0,USD,2026-05-24
항공,Incheon,북미,Toronto,2015,03,,,,3700.0,3650.0,3400.0,USD,2026-05-24
항공,Incheon,중남미,Mexico City,2015,03,,,,4700.0,4700.0,4700.0,USD,2026-05-24
항공,Incheon,유럽,Amsterdam,2015,03,,,,2500.0,2200.0,2000.0,USD,2026-05-24
항공,Incheon,유럽,Frankfrut,2015,03,,,,3000.0,2600.0,2600.0,USD,2026-05-24
항공,Incheon,유럽,London,2015,03,,,,2700.0,2500.0,2400.0,USD,2026-05-24
항공,Incheon,유럽,Paris,2015,03,,,,2600.0,2500.0,2400.0,USD,2026-05-24
항공,Incheon,아시아,Mumbai,2015,03,,,,2100.0,2000.0,2000.0,USD,2026-05-24
항공,Incheon,아시아,New Delhi,2015,03,,,,2400.0,2200.0,1950.0,USD,2026-05-24
항공,Incheon,아시아,Ulaanbaatar,2015,03,,,,4200.0,4100.0,4000.0,USD,2026-05-24
항공,Incheon,아시아,Hanoi,2015,03,,,,1800.0,1750.0,1650.0,USD,2026-05-24
항공,Incheon,아시아,Hochiminh,2015,03,,,,2000.0,1900.0,1900.0,USD,2026-05-24
