# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
해상,Busan,북미,New York,2024,03,4850.0,6000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,02,5600.0,7000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2024,01,6000.0,7500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,12,2360.0,2950.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,11,2000.0,2500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,10,1850.0,2300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,09,2240.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,08,2700.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,07,2200.0,2600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,06,1650.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,05,1650.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,04,1600.0,2225.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,03,1800.0,2450.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2023,01,2360.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,12,2560.0,3450.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,11,2900.0,4100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,10,4860.0,6300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,09,6000.0,7500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,08,7840.0,9800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,07,8400.0,10500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,06,10400.0,13000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,05,10800.0,13500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,04,19800.0,22000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,03,19800.0,22000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,02,19800.0,22000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2022,01,19800.0,22000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,12,19000.0,21000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,11,12800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,10,12800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,09,12800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,08,8800.0,11000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,07,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,06,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,05,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,04,4080.0,5100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,03,4080.0,5100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,02,4080.0,5100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2021,01,4080.0,5100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,12,3840.0,4800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,11,3760.0,4700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,10,3760.0,4700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,09,3946.0,4700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,08,3280.0,4100.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,07,2660.0,3325.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,06,2400.0,3000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,05,2000.0,2500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,04,2360.0,2950.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,03,2360.0,2950.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,02,2320.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2020,01,2260.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,12,2160.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,11,2240.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,10,2000.0,2450.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,09,2200.0,2750.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,08,2320.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,07,2200.0,2750.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,06,2080.0,2600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,05,2320.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,04,2160.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,03,2160.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2019,02,2560.0,3200.0,USD,,,,,2026-05-24
